WoS subject category,Broad area
Physics; Atomic; Molecular & Chemical ,Physics 
Physics; Condensed Matter ,Physics 
Physics; Fluids & Plasmas ,Physics 
Physics; Mathematical ,Physics 
Physics; Multidisciplinary ,Physics 
Physics; Nuclear ,Physics 
Physics; Particles & Fields ,Physics 
Thermodynamics ,Physics 
Business ,Professional fields 
Business; Finance ,Professional fields 
Communication ,Professional fields 
Education & Educational Research ,Professional fields 
Education; Scientific Disciplines ,Professional fields 
Education; Special ,Professional fields 
Ergonomics ,Professional fields 
Family Studies ,Professional fields 
Health Care Sciences & Services ,Professional fields 
Hospitality; Leisure; Sport & Tourism ,Professional fields 
Industrial Relations & Labor ,Professional fields 
Information Science & Library Science ,Professional fields 
Law ,Professional fields 
Management ,Professional fields 
Medicine; Legal ,Professional fields 
Primary Health Care ,Professional fields 
Social Work ,Professional fields 
Behavioral Sciences ,Psychology 
Psychology ,Psychology 
Psychology; Applied ,Psychology 
Psychology; Biological ,Psychology 
Psychology; Clinical ,Psychology 
Psychology; Developmental ,Psychology 
Psychology; Educational ,Psychology 
Psychology; Experimental ,Psychology 
Psychology; Mathematical ,Psychology 
Psychology; Multidisciplinary ,Psychology 
Psychology; Psychoanalysis ,Psychology 
Psychology; Social ,Psychology 
Agricultural Economics & Policy ,Social sciences 
Anthropology ,Social sciences 
Area Studies ,Social sciences 
Criminology & Penology ,Social sciences 
Demography ,Social sciences 
Economics ,Social sciences 
Geography ,Social sciences 
Gerontology ,Social sciences 
International Relations ,Social sciences 
Linguistics ,Social sciences 
Planning & Development ,Social sciences 
Political Science ,Social sciences 
Public Administration ,Social sciences 
Social Issues ,Social sciences 
Social Sciences; Biomedical ,Social sciences 
Social Sciences; Interdisciplinary ,Social sciences 
Social Sciences; Mathematical Methods ,Social sciences 
Sociology ,Social sciences 
Urban Studies ,Social sciences 
